query_id	hit_id	hit_acc	hit_title	hit_sci_names	hit_tax_ids	hit_super_kingdoms	hit_blast_names	pct_identity	hit_length	alignment_length	mismatches	gap_opens	query_start	query_end	hit_start	hit_end	evalue	bit_score	hit_rank	kingdom	supergroup	division	class	order	family	genus	species	uncultured	tax_organism	tax_lineage
RCC5210	gi|409178461|gb|JQ956237.1|	JQ956237	Uncultured eukaryote clone AN0658_19L11H 18S ribosomal RNA gene, partial sequence	uncultured eukaryote	100272	Eukaryota	eukaryotes	100	970	898	0	0	1	898	8	905	0	1659	11	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured eukaryote	cellular organisms; Eukaryota; environmental samples; 
RCC5210	gi|540355840|gb|KC771204.1|	KC771204	Uncultured marine eukaryote clone WC-12-MC-433-OTU-11 18S ribosomal RNA gene, partial sequence	uncultured marine eukaryote	203449	Eukaryota	eukaryotes	100	1788	898	0	0	1	898	618	1515	0	1659	12	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured marine eukaryote	cellular organisms; Eukaryota; environmental samples; 
RCC5210	gi|959096458|gb|KT860997.1|	KT860997	Chaetoceros neogracile strain RCC2506 18S ribosomal RNA gene, partial sequence	Chaetoceros neogracilis	240364	Eukaryota	diatoms	100	1634	898	0	0	1	898	536	1433	0	1659	13									FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|959096459|gb|KT860998.1|	KT860998	Chaetoceros neogracile strain RCC2507 18S ribosomal RNA gene, partial sequence	Chaetoceros neogracilis	240364	Eukaryota	diatoms	100	1633	898	0	0	1	898	536	1433	0	1659	14									FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|955475196|gb|KT884476.1|	KT884476	Chaetoceros neogracile isolate RCC4285 18S ribosomal RNA gene, partial sequence	Chaetoceros neogracilis	240364	Eukaryota	diatoms	100	970	898	0	0	1	898	1	898	0	1659	15									FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|1475720222|gb|MH843674.1|	MH843674	Chaetoceros sp. strain RCC4591 small subunit ribosomal RNA gene, partial sequence	Chaetoceros sp.	49240	Eukaryota	diatoms	100	1574	898	0	0	1	898	478	1375	0	1659	16									FALSE	Chaetoceros sp.	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; unclassified Chaetoceros; 
RCC5210	gi|959096644|gb|KT861183.1|	KT861183	Chaetoceros neogracile strain RCC2012 18S ribosomal RNA gene, partial sequence	Chaetoceros neogracilis	240364	Eukaryota	diatoms	100	897	894	0	0	5	898	1	894	0	1652	17									FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|329024945|gb|JF698846.1|	JF698846	Uncultured Chaetoceros clone MALINA_St390_3m_Pico_P1G7 18S ribosomal RNA gene, partial sequence	uncultured Chaetoceros	941234	Eukaryota	diatoms	100	893	891	0	0	8	898	1	891	0	1646	18	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured Chaetoceros	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; environmental samples; 
RCC5210	gi|959096648|gb|KT861187.1|	KT861187	Chaetoceros neogracile strain RCC2272 18S ribosomal RNA gene, partial sequence	Chaetoceros neogracilis	240364	Eukaryota	diatoms	100	974	886	0	0	13	898	1	886	0	1637	19									FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|329024943|gb|JF698844.1|	JF698844	Uncultured Chaetoceros clone MALINA_St390_3m_Pico_P1F8 18S ribosomal RNA gene, partial sequence	uncultured Chaetoceros	941234	Eukaryota	diatoms	100	876	876	0	0	5	880	1	876	0	1618	20	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured Chaetoceros	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; environmental samples; 
RCC5210	gi|959096652|gb|KT861191.1|	KT861191	Chaetoceros neogracile strain RCC2279 18S ribosomal RNA gene, partial sequence	Chaetoceros neogracilis	240364	Eukaryota	diatoms	100	868	868	0	0	15	882	1	868	0	1604	21									FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|329025137|gb|JF699038.1|	JF699038	Uncultured Chaetoceros clone MALINA_St320_3m_Nano_ES069_H2 18S ribosomal RNA gene, partial sequence	uncultured Chaetoceros	941234	Eukaryota	diatoms	100	866	866	0	0	3	868	1	866	0	1600	22	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured Chaetoceros	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; environmental samples; 
RCC5210	gi|959096645|gb|KT861184.1|	KT861184	Chaetoceros neogracile strain RCC2014 18S ribosomal RNA gene, partial sequence	Chaetoceros neogracilis	240364	Eukaryota	diatoms	100	860	860	0	0	5	864	1	860	0	1589	23									FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|959096641|gb|KT861180.1|	KT861180	Chaetoceros neogracile strain RCC1989 18S ribosomal RNA gene, partial sequence	Chaetoceros neogracilis	240364	Eukaryota	diatoms	100	855	855	0	0	5	859	1	855	0	1580	24									FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|959096651|gb|KT861190.1|	KT861190	Chaetoceros neogracile strain RCC2278 18S ribosomal RNA gene, partial sequence	Chaetoceros neogracilis	240364	Eukaryota	diatoms	100	830	830	0	0	19	848	1	830	0	1533	25									FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|959096679|gb|KT861218.1|	KT861218	Chaetoceros neogracile strain RCC2003 18S ribosomal RNA gene, partial sequence	Chaetoceros neogracilis	240364	Eukaryota	diatoms	100	828	828	0	0	5	832	1	828	0	1530	26									FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|329025139|gb|JF699040.1|	JF699040	Uncultured Chaetoceros clone MALINA_St320_3m_Nano_ES069_H5 18S ribosomal RNA gene, partial sequence	uncultured Chaetoceros	941234	Eukaryota	diatoms	100	826	826	0	0	3	828	1	826	0	1526	27	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_X	Polar-centric-Mediophyceae_X_sp.	TRUE	uncultured Chaetoceros	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; environmental samples; 
RCC5210	gi|959096634|gb|KT861173.1|	KT861173	Chaetoceros neogracile strain RCC2268 18S ribosomal RNA gene, partial sequence	Chaetoceros neogracilis	240364	Eukaryota	diatoms	100	780	780	0	0	1	780	1	780	0	1441	28									FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|329024965|gb|JF698866.1|	JF698866	Uncultured Chaetoceros clone MALINA_St390_3m_Pico_P2H10 18S ribosomal RNA gene, partial sequence	uncultured Chaetoceros	941234	Eukaryota	diatoms	100	778	778	0	0	14	791	1	778	0	1437	29									TRUE	uncultured Chaetoceros	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; environmental samples; 
RCC5210	gi|959096669|gb|KT861208.1|	KT861208	Chaetoceros neogracile strain RCC2261 18S ribosomal RNA gene, partial sequence	Chaetoceros neogracilis	240364	Eukaryota	diatoms	100	766	766	0	0	6	771	1	766	0	1415	30									FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|187762478|gb|EU682531.1|	EU682531	Uncultured stramenopile clone 05M82n.20 18S ribosomal RNA gene, partial sequence	uncultured stramenopile	152704	Eukaryota	eukaryotes	99.889	925	898	1	0	1	898	9	906	0	1653	31	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured stramenopile	cellular organisms; Eukaryota; Stramenopiles; environmental samples; 
RCC5210	gi|285804456|gb|FJ971798.1|	FJ971798	Uncultured marine eukaryote clone Ar1337d111 18S ribosomal RNA gene, partial sequence	uncultured marine eukaryote	203449	Eukaryota	eukaryotes	99.889	966	898	1	0	1	898	10	907	0	1653	32	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured marine eukaryote	cellular organisms; Eukaryota; environmental samples; 
RCC5210	gi|291555994|emb|FN690612.1|	FN690612	Uncultured stramenopile partial 18S rRNA gene, clone 4-A5	uncultured stramenopile	152704	Eukaryota	eukaryotes	99.889	1675	898	1	0	1	898	567	1464	0	1653	33	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured stramenopile	cellular organisms; Eukaryota; Stramenopiles; environmental samples; 
RCC5210	gi|291555995|emb|FN690613.1|	FN690613	Uncultured stramenopile partial 18S rRNA gene, clone 4-G11	uncultured stramenopile	152704	Eukaryota	eukaryotes	99.889	1675	898	1	0	1	898	567	1464	0	1653	34	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured stramenopile	cellular organisms; Eukaryota; Stramenopiles; environmental samples; 
RCC5210	gi|291555998|emb|FN690616.1|	FN690616	Uncultured stramenopile partial 18S rRNA gene, clone 5b-C6	uncultured stramenopile	152704	Eukaryota	eukaryotes	99.889	1681	898	1	0	1	898	567	1464	0	1653	35	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured stramenopile	cellular organisms; Eukaryota; Stramenopiles; environmental samples; 
RCC5210	gi|291556000|emb|FN690618.1|	FN690618	Uncultured stramenopile partial 18S rRNA gene, clone 4-D10	uncultured stramenopile	152704	Eukaryota	eukaryotes	99.889	1675	898	1	0	1	898	567	1464	0	1653	36	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured stramenopile	cellular organisms; Eukaryota; Stramenopiles; environmental samples; 
RCC5210	gi|291556001|emb|FN690619.1|	FN690619	Uncultured stramenopile partial 18S rRNA gene, clone 8-77	uncultured stramenopile	152704	Eukaryota	eukaryotes	99.889	1688	898	1	0	1	898	572	1469	0	1653	37	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured stramenopile	cellular organisms; Eukaryota; Stramenopiles; environmental samples; 
RCC5210	gi|291556002|emb|FN690620.1|	FN690620	Uncultured stramenopile partial 18S rRNA gene, clone 5b-B9	uncultured stramenopile	152704	Eukaryota	eukaryotes	99.889	1686	898	1	0	1	898	567	1464	0	1653	38	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured stramenopile	cellular organisms; Eukaryota; Stramenopiles; environmental samples; 
RCC5210	gi|291556003|emb|FN690621.1|	FN690621	Uncultured stramenopile partial 18S rRNA gene, clone 4-E11	uncultured stramenopile	152704	Eukaryota	eukaryotes	99.889	1676	898	1	0	1	898	567	1464	0	1653	39	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured stramenopile	cellular organisms; Eukaryota; Stramenopiles; environmental samples; 
RCC5210	gi|291556014|emb|FN690632.1|	FN690632	Uncultured stramenopile partial 18S rRNA gene, clone 8-38	uncultured stramenopile	152704	Eukaryota	eukaryotes	99.889	1681	898	1	0	1	898	572	1469	0	1653	40	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured stramenopile	cellular organisms; Eukaryota; Stramenopiles; environmental samples; 
RCC5210	gi|316990801|gb|HQ222496.1|	HQ222496	Uncultured stramenopile clone AN0630L33 18S ribosomal RNA gene, partial sequence	uncultured stramenopile	152704	Eukaryota	eukaryotes	99.889	964	898	1	0	1	898	6	903	0	1653	41	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured stramenopile	cellular organisms; Eukaryota; Stramenopiles; environmental samples; 
RCC5210	gi|409178278|gb|JQ956054.1|	JQ956054	Uncultured eukaryote clone CB432L02 18S ribosomal RNA gene, partial sequence	uncultured eukaryote	100272	Eukaryota	eukaryotes	99.889	965	898	1	0	1	898	7	904	0	1653	42	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured eukaryote	cellular organisms; Eukaryota; environmental samples; 
RCC5210	gi|409178285|gb|JQ956061.1|	JQ956061	Uncultured eukaryote clone CB432L09 18S ribosomal RNA gene, partial sequence	uncultured eukaryote	100272	Eukaryota	eukaryotes	99.889	980	898	1	0	1	898	5	902	0	1653	43	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured eukaryote	cellular organisms; Eukaryota; environmental samples; 
RCC5210	gi|959096631|gb|KT861170.1|	KT861170	Chaetoceros neogracile strain RCC2263 18S ribosomal RNA gene, partial sequence	Chaetoceros neogracilis	240364	Eukaryota	diatoms	99.889	901	898	0	1	1	898	1	897	0	1652	44									FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|409178180|gb|JQ955956.1|	JQ955956	Uncultured eukaryote clone AN0628L32 18S ribosomal RNA gene, partial sequence	uncultured eukaryote	100272	Eukaryota	eukaryotes	99.888	998	894	1	0	5	898	1	894	0	1646	45	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured eukaryote	cellular organisms; Eukaryota; environmental samples; 
RCC5210	gi|329025048|gb|JF698949.1|	JF698949	Uncultured Chaetoceros clone MALINA_St390_3m_Nano_ES021D6 18S ribosomal RNA gene, partial sequence	uncultured Chaetoceros	941234	Eukaryota	diatoms	99.884	860	860	1	0	20	879	1	860	0	1583	46	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured Chaetoceros	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; environmental samples; 
RCC5210	gi|329025115|gb|JF699016.1|	JF699016	Uncultured Chaetoceros clone MALINA_St320_3m_Nano_ES069_C3 18S ribosomal RNA gene, partial sequence	uncultured Chaetoceros	941234	Eukaryota	diatoms	99.883	856	856	1	0	15	870	1	856	0	1576	47	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Chaetoceros	Chaetoceros_sp.	TRUE	uncultured Chaetoceros	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; environmental samples; 
RCC5210	gi|959096642|gb|KT861181.1|	KT861181	Chaetoceros gelidus strain RCC1990 18S ribosomal RNA gene, partial sequence	Chaetoceros neogracilis;Chaetoceros gelidus	240364	Eukaryota	diatoms	99.883	856	856	1	0	5	860	1	856	0	1576	48									FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|959096665|gb|KT861204.1|	KT861204	Chaetoceros neogracile strain RCC2280 18S ribosomal RNA gene, partial sequence	Chaetoceros neogracilis	240364	Eukaryota	diatoms	99.879	828	828	0	1	24	850	1	828	0	1522	49									FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|329025064|gb|JF698965.1|	JF698965	Uncultured Chaetoceros clone MALINA_St390_3m_Nano_ES021H6 18S ribosomal RNA gene, partial sequence	uncultured Chaetoceros	941234	Eukaryota	diatoms	99.879	825	825	1	0	5	829	1	825	0	1519	50	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_X	Polar-centric-Mediophyceae_X_sp.	TRUE	uncultured Chaetoceros	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; environmental samples; 
RCC5210	gi|959096682|gb|KT861221.1|	KT861221	Chaetoceros neogracile strain RCC2017 18S ribosomal RNA gene, partial sequence	Chaetoceros neogracilis	240364	Eukaryota	diatoms	99.877	815	815	1	0	2	816	1	815	0	1500	51									FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|959096636|gb|KT861175.1|	KT861175	Chaetoceros neogracile strain RCC2267 18S ribosomal RNA gene, partial sequence	Chaetoceros neogracilis	240364	Eukaryota	diatoms	99.877	811	811	1	0	1	811	1	811	0	1493	52									FALSE	Chaetoceros neogracilis	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; 
RCC5210	gi|329025111|gb|JF699012.1|	JF699012	Uncultured Chaetoceros clone MALINA_St320_3m_Nano_ES069_A8 18S ribosomal RNA gene, partial sequence	uncultured Chaetoceros	941234	Eukaryota	diatoms	99.877	810	810	1	0	21	830	1	810	0	1491	53	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Polar-centric-Mediophyceae	Polar-centric-Mediophyceae_X	Polar-centric-Mediophyceae_X_sp.	TRUE	uncultured Chaetoceros	cellular organisms; Eukaryota; Stramenopiles; Bacillariophyta; Coscinodiscophyceae; Chaetocerotophycidae; Chaetocerotales; Chaetocerotaceae; Chaetoceros; environmental samples; 
